county_fips,avg_net_migration_rate,percentile
1003,0.01918786484005153,99.48849104859335
1015,-0.0020835452439686916,41.94373401534527
1055,0.0013449948669199197,67.77493606138107
1069,0.0025120177815647093,73.40153452685422
1073,-0.004682185256122589,21.483375959079286
1077,0.002058203324768194,71.0997442455243
1081,0.006359724533354544,86.70076726342711
1089,0.009135842597069314,93.09462915601023
1097,-0.001993373700020752,42.45524296675192
1101,-0.0061480628351009625,12.531969309462914
1103,0.0011352601333653035,65.98465473145781
1125,0.0011085186591250301,65.72890025575447
2020,-0.010306962046136512,3.580562659846547
2090,-0.01608514735957977,0.7672634271099744
4003,-0.0012803160245299673,48.59335038363171
4005,-0.0053546594075570535,16.36828644501279
4013,0.005171716255125126,83.63171355498721
4015,0.010402722284044374,94.8849104859335
4019,0.0027570289570352305,74.16879795396419
4025,0.015149744697365764,97.18670076726342
4027,0.0014066999641074867,68.28644501278772
5031,0.004551701270651362,81.32992327365729
5051,0.006713636373720503,88.49104859335038
5069,-0.012017117948659405,2.3017902813299234
5119,-0.0047681023079640195,20.716112531969312
5131,-0.0016981824342821653,44.75703324808184
5143,0.001975750257316286,70.84398976982096
6001,-0.004192107778566096,26.598465473145783
6007,-0.00314804478742913,32.22506393861892
6019,-0.000655658918015881,54.987212276214834
6025,-0.0011594274599128769,50.63938618925832
6029,0.0011439039939863543,66.49616368286445
6031,-0.004359281815696081,24.296675191815854
6037,-0.007905900558781504,6.905370843989769
6039,0.001668289146458445,69.82097186700767
6041,0.004090917056405443,80.56265984654732
6047,0.0003685114826379976,63.42710997442455
6053,-0.006844866339531017,9.462915601023019
6055,-0.0009456914202750885,52.94117647058824
6059,-0.0043026640955077565,24.808184143222505
6065,0.008850536737869171,92.58312020460357
6067,-0.00019108730667653288,58.05626598465473
6073,-0.002985174732528685,33.50383631713555
6075,-0.009965386828199559,4.3478260869565215
6077,0.003060334941997096,75.1918158567775
6079,0.0026910534057098903,73.91304347826086
6083,-0.004485888049774834,23.273657289002557
6085,-0.007841502548837432,7.161125319693094
6087,-0.003677433936068691,29.66751918158568
6089,0.002364248591661554,72.63427109974424
6095,0.00012295769544547834,61.63682864450127
6097,-0.0009354155249248654,53.196930946291566
6099,-0.0001412619511802307,58.82352941176471
6101,-0.0017584659530400079,44.24552429667519
6107,-0.0001719055375267822,58.567774936061376
6111,-0.002858058021929283,35.294117647058826
8013,3.965828315469037e-06,60.86956521739131
8031,-0.0012399910357759223,49.36061381074169
8041,0.006025760550498882,85.93350383631714
8069,0.006755438052895799,89.00255754475704
8077,0.006527319160966056,87.21227621483376
8101,0.005648269504214472,84.65473145780051
8123,0.015143978595630984,96.9309462915601
9001,-0.003752451599353828,28.9002557544757
9003,-0.004400881487210365,23.785166240409207
9009,-0.004089418298685487,27.621483375959077
9011,-0.004943948239689028,19.437340153452684
10001,0.007534604675260783,90.02557544757033
10003,-0.0013137394582306522,48.08184143222506
11001,-0.006531166339213051,11.253196930946292
12001,-0.003758420696920022,28.644501278772378
12005,-0.0008015727135861287,53.96419437340153
12009,0.010222130576992778,94.62915601023018
12011,-0.0024083130965078534,38.87468030690537
12015,0.01882809147111236,98.9769820971867
12017,0.01718579075566912,98.46547314578005
12021,0.008841704239092371,92.32736572890026
12031,0.00010242964573191106,61.38107416879796
12033,-0.0027840542527732505,36.31713554987212
12055,0.009196297602281432,93.35038363171356
12057,0.00394820779743411,79.79539641943734
12061,0.016121569427091885,97.69820971867009
12071,0.015250865925421169,97.44245524296676
12073,-0.005169767513107299,17.135549872122763
12083,0.014781819958883769,96.67519181585678
12086,-0.010067483366648169,4.092071611253197
12091,-4.349216898854568e-06,60.10230179028133
12095,-0.0009778173485420012,52.685421994884905
12099,0.0037710219358535278,79.02813299232737
12105,0.013153058922307476,96.16368286445012
12111,0.01707005618027873,98.20971867007673
12115,0.014006405036948891,96.41943734015345
12119,0.04837316156954918,100.0
12127,0.009520657515485968,93.60613810741688
13021,-0.00567855221356282,14.83375959079284
13051,0.0014581528772237293,68.79795396419436
13059,-0.006792965050103893,9.974424552429667
13095,-0.010339381060468285,3.324808184143223
13115,-6.262101794530043e-05,59.33503836317136
13121,0.0038106821774206044,79.53964194373401
13127,0.005490621390267401,84.14322250639387
13139,0.00669800731560933,88.23529411764706
13153,0.00716238595405624,89.51406649616368
13179,-0.016549514629374946,0.2557544757033248
13185,-0.0017691572748707687,43.98976982097187
13215,-0.005310439939140207,16.879795396419436
13245,-0.0079198921224283,6.649616368286446
13313,-0.004288481214398978,25.063938618925828
15003,-0.006732164680353614,10.230179028132993
15009,0.0007477834735101226,64.70588235294117
16001,0.012318932883041818,95.9079283887468
16005,-0.0023512387452840565,39.89769820971867
16019,0.007975305485752048,91.30434782608695
16055,0.016875491755697254,97.9539641943734
16083,0.006662131211057726,87.97953964194375
17019,-0.00737196923189657,7.928388746803069
17031,-0.009000490957288821,4.603580562659847
17089,-0.00046470819089037033,56.52173913043478
17091,-0.0028812443379805605,34.78260869565217
17097,-0.003384962099522993,30.946291560102303
17113,-0.0047305599384919695,20.971867007672635
17115,-0.0064236725450289465,11.508951406649617
17143,-0.007749377640343847,7.41687979539642
17167,-0.0027851541597144016,36.0613810741688
17183,-0.006079824817907673,13.043478260869565
17201,-0.0033351529661020426,31.45780051150895
18003,-0.0005864925292491956,55.49872122762148
