statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
01,AL,Alabama,0,1668540,3672320,104201285,107063977,151044,248695,3004599,3563724,306548,716018,11682836,12693173,306612,884934,18348951,19256802,305542,752240,24252550,24983380,290018,558108,24719463,24663667,308776,512325,22192884,21903228,1538912,3400285,97490271,99949950,127758,212031,2537845,2998594,266597,629145,10099826,10941158,281512,815668,16907475,17745606,288156,712817,22944915,23621352,277643,536001,23606162,23497858,297246,494623,21394045,21145379,55115,112806,2890666,3075838,9992,14680,202680,251713,18388,37650,714641,819184,10345,29238,649939,695269,6626,15240,531165,535560,4680,8286,422680,422599,5084,7712,369558,351511,58672,124532,3448411,3580451,9363,14386,194410,229328,17462,38109,769737,834766,11414,32630,728410,761680,8015,18664,708883,743714,6375,11369,605090,594196,6043,9374,441879,416763,70956,147503,3262602,3533575,13923,22278,272344,335801,22489,48764,813272,917247,13686,36636,713065,749515,9371,20759,598750,618312,6000,10738,508210,571612,5487,8328,356959,341084
01,AL,Alabama,1,129681,208538,1592975,806922,25369,37029,242570,169424,24985,43933,289684,164858,15875,32055,199785,106176,14165,24303,181633,89396,16846,25252,250044,95138,32441,45966,429255,181926,116138,187184,1413707,722550,21092,31047,199681,141857,21191,37393,239697,140850,14076,28516,175558,94608,12916,22306,163139,81641,15929,23954,233960,89943,30934,43968,401669,173649,5886,8987,75136,36317,1791,2464,17585,11486,1808,2932,22137,11159,738,1405,10316,4869,532,837,8299,3265,393,537,7014,2166,624,812,9782,3370,6182,9583,85709,37636,1768,2424,18525,11327,1732,2918,24538,10747,813,1600,11554,5046,610,938,9075,3613,495,686,9042,2750,764,1017,12972,4150,7361,11771,93558,46735,2509,3558,24363,16238,2062,3622,25448,13260,986,1939,12672,6521,639,1059,9418,4141,422,612,7040,2445,743,981,14613,4126
01,AL,Alabama,2,426229,869989,7926493,7392916,74715,124687,1094870,1263717,102644,238869,1767582,1777579,74782,198889,1383558,1306682,54324,116421,1065469,968900,48502,84001,1058211,860543,71262,107122,1556801,1215493,390498,800208,7256210,6779753,64223,108218,936726,1085422,91164,213787,1559965,1579501,68975,184034,1268107,1206959,51031,109821,994325,911435,46475,80819,1005924,825435,68630,103529,1491159,1170999,14715,26817,271149,252244,4344,6248,65584,74808,4948,9800,87751,85038,2192,5518,43302,37600,1264,2444,26653,21645,804,1237,19479,13647,1163,1570,28377,19504,14793,27890,296126,253997,4151,6253,65226,71051,4606,9695,88303,79632,2313,5839,48895,39392,1417,2754,31991,24514,1002,1550,28342,17235,1304,1799,33367,22171,20938,41891,374156,359165,6341,10216,92917,107244,6874,15387,119313,118445,3494,9016,66554,60331,1876,3846,39152,32950,1025,1632,23943,17871,1328,1794,32274,22322
01,AL,Alabama,3,447134,913830,15987885,16115618,40107,65696,1079040,1368178,97558,213231,3188469,3484062,87561,228305,3093047,3168601,79863,168413,2953873,2918595,71582,124219,2843383,2626188,70463,113966,2830072,2549991,411208,842992,14740392,14820245,33529,55064,906002,1142798,84519,186696,2758286,3011108,80767,211294,2844148,2919704,75508,159712,2785624,2758972,68797,119769,2717657,2524451,68088,110457,2728672,2463209,14528,27592,496398,526868,2984,4550,77228,103846,5813,11342,189233,212721,2366,5974,89752,87653,1340,2666,52088,48663,958,1512,41654,35101,1067,1548,46439,38882,15018,30159,543521,543117,2631,4305,70033,89018,5415,11448,182700,197624,2738,7050,104261,101611,1695,3461,69213,62171,1314,2062,63597,47951,1225,1833,53714,44740,20908,40679,703971,752256,3947,6327,103004,136361,7624,15087,247483,275329,4056,9961,144637,147285,2660,5240,99034,97452,1471,2388,62127,53785,1150,1676,47684,42041
01,AL,Alabama,4,243733,543599,14782365,14983796,8232,15717,372605,490458,40294,100841,2230146,2461045,46827,134986,2789765,2877973,51026,118373,3160121,3142597,49874,94113,3191823,3081968,47480,79569,3037903,2929753,226083,504929,13758723,13905298,6754,13058,310676,402285,34419,87522,1916195,2103344,42768,123748,2550841,2629529,48368,112699,2990706,2979594,48011,90940,3067328,2966511,45763,76962,2922974,2824032,7760,17018,443109,475518,655,1032,26724,39136,3023,6634,159036,184414,1722,5010,102726,105808,955,2114,59667,59156,654,1108,44632,40580,751,1120,50321,46422,8254,18317,489503,506415,604,1017,25761,36053,2798,6377,151546,171059,1936,5618,115057,118990,1111,2399,72052,68635,901,1513,63068,55790,904,1393,62017,55885,9396,20353,534139,572082,874,1642,36167,52119,3077,6942,162404,186641,2123,5620,123866,129452,1547,3275,97362,94367,962,1660,61426,59666,813,1214,52911,49834
01,AL,Alabama,5,157780,398857,13408665,13673120,1916,4124,119200,162615,21351,60706,1654487,1837152,31692,105814,2642628,2748529,35212,95450,3029580,3060082,34803,72362,3062096,3018903,32806,60401,2900671,2845837,147394,372303,12566287,12774058,1578,3441,99734,133717,18362,52836,1435246,1580372,29024,97186,2426349,2516735,33316,90669,2866075,2895428,33461,69768,2942759,2902221,31653,58403,2796120,2745583,4679,11671,374885,403478,154,274,8525,13046,1425,3451,101752,121920,1330,4293,106848,114874,761,1863,66405,66247,504,938,45461,43581,505,852,45892,43808,5257,13605,431388,455589,147,281,8733,12677,1434,3760,107067,123291,1407,4731,114073,122330,948,2424,83063,82414,695,1334,62229,60552,626,1075,56221,54322,5129,12949,410989,443472,191,402,10731,16220,1555,4110,112173,133488,1261,3897,102205,109464,948,2357,80441,82239,647,1260,57108,56129,527,923,48329,45930
01,AL,Alabama,6,206829,572471,26678051,27586758,640,1329,55822,78478,17711,52349,1987142,2266220,40809,149528,5066987,5378908,55049,173015,7203037,7420331,51244,116290,6882361,6929408,41376,79960,5482700,5513410,193832,537097,25071463,25842928,517,1090,44532,61662,15240,45692,1726156,1944887,37542,138124,4669507,4946443,52005,164181,6809896,7007135,48769,111042,6550527,6588344,39759,76968,5270843,5294456,5901,16044,714870,794537,64,112,7031,9389,1222,3077,125123,159476,1614,5661,190375,214577,1327,3870,167440,181316,951,2007,127098,131421,723,1317,97801,98355,7148,19301,907999,966195,62,106,6129,9199,1286,3375,139661,169468,1778,6225,223294,236241,1696,4949,223948,232295,1418,2980,191584,195416,908,1666,123381,123573,5849,16073,698587,777634,61,133,5159,7617,1185,3282,121324,151865,1489,5179,174185,196224,1348,3885,169192,180900,1057,2268,140249,145646,709,1326,88476,95381
01,AL,Alabama,7,57154,165036,23824849,26504844,65,113,40491,30851,2005,6089,565322,702254,9066,35357,3173178,3669929,15903,56265,6658834,7383476,17167,41871,7431543,8051516,12948,25341,5955479,6666815,53759,155572,22683487,25105115,65,113,40491,30851,1702,5219,464277,581094,8360,32766,2972961,3431625,15012,53429,6335145,6987145,16201,39709,7088004,7600950,12419,24336,5782606,6473448,1646,4677,515117,586873,0,0,0,0,149,414,29605,44452,383,1377,106617,129885,447,1446,150610,155265,416,947,137339,156101,251,493,90944,101168,2020,5677,694162,817500,0,0,0,0,191,536,75920,82942,429,1567,111273,138068,538,1739,219539,270069,550,1244,187224,214499,312,591,100203,111919,1375,3787,447199,582228,0,0,0,0,112,334,25124,38217,277,1024,88942,100236,353,1097,104148,126261,416,918,156315,236066,217,414,72668,81448
02,AK,Alaska,0,278239,579719,22067570,21790904,35376,49854,918821,1044146,60231,128563,3080207,3223967,47097,135856,3918911,3976922,45697,109426,4787466,4715473,48763,89843,5374882,5169180,41075,66177,3987280,3661214,252515,527739,20709124,20379524,29438,41181,783335,881002,51423,109910,2695430,2800931,42612,123070,3618793,3665227,42918,103361,4557068,4490377,46598,86224,5184748,4981969,39526,63993,3869749,3560015,24390,52098,1567573,1543267,5193,7920,140263,150013,8217,18562,419674,423794,4318,12948,339560,339593,2544,5805,250044,235282,2432,4189,258373,249200,1686,2674,159656,145383,17710,36526,877563,934995,4333,6452,91838,115309,6222,13397,255709,290341,3073,9184,205300,215841,1741,3873,141262,141878,1318,2205,109670,108942,1023,1415,73781,62680,8014,15454,480882,476384,1605,2221,43648,47834,2586,5256,129067,132694,1412,3602,94817,95853,1038,2192,89135,83216,847,1414,80464,78268,526,769,43750,38517
02,AK,Alaska,1,19726,29101,282362,105615,4405,5617,51188,25770,4574,7385,63284,25459,2155,4249,33019,11822,2053,3282,33018,10840,2628,3505,42371,12967,3911,5063,59480,18755,17577,26031,250115,93157,3714,4755,42693,21611,3935,6381,53704,21738,1911,3795,28835,10335,1867,2998,29690,9790,2442,3274,39255,11950,3708,4828,55936,17730,1563,2144,28069,9179,516,624,7343,3205,460,670,8055,2711,165,279,3224,914,114,181,2344,721,138,177,3398,793,170,213,3703,833,1302,1809,18977,7790,420,524,5269,2635,396,600,5960,2383,144,258,2390,898,96,136,1540,589,112,141,1524,627,134,150,2291,656,847,1261,13268,4666,271,338,3225,1523,243,404,3619,1337,100,196,1793,588,90,148,1787,460,74,90,1591,389,69,85,1252,367
