statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
02,AK,Alaska,2,38904,63814,793990,698745,10983,13986,181866,202921,9435,17132,182735,170251,4802,11206,103246,85789,3613,7053,80399,64933,4344,6610,106318,76681,5727,7827,139423,98166,34593,57445,707938,621040,9160,11726,151370,169060,8142,15036,155478,147117,4343,10253,92925,77805,3361,6635,74782,60505,4106,6284,99997,72498,5481,7511,133384,94052,3087,4662,70420,56147,1308,1645,24853,24206,886,1433,20624,16082,297,688,7097,5217,208,383,5974,3821,189,255,5112,3428,199,258,6758,3390,3128,4475,62605,57100,1426,1761,24005,26835,910,1414,19376,16433,303,603,7251,5360,167,262,3651,2937,153,219,4133,2685,169,216,4186,2848,1183,1894,23446,20604,397,499,6490,7026,383,682,7881,6699,156,350,3068,2623,85,156,1965,1490,85,107,2188,1497,77,100,1852,1266
02,AK,Alaska,3,68801,123444,2418763,2528210,13956,19461,381286,479130,20651,39049,697083,765707,10848,26033,402091,409723,7612,15199,290241,285320,8405,13167,343963,314724,7329,10535,304097,273604,62627,112584,2218137,2305849,11940,16482,329360,411130,18171,34348,613918,674417,10081,24234,373459,380787,7249,14552,276579,271483,8106,12762,331116,303751,7080,10206,293701,264279,5559,10302,192212,197672,1938,2988,54882,63942,2159,4462,76509,78742,613,1514,23890,23204,295,542,11956,11114,318,460,14797,11907,236,336,10175,8758,4502,8147,143253,161396,1566,2404,39720,52434,1792,3525,59717,66128,537,1303,20327,20285,242,427,9109,9229,195,265,7498,6965,170,223,6880,6353,1672,2713,57371,60964,450,575,12205,15565,688,1176,23447,25161,230,496,8304,8650,121,220,4551,4606,104,140,5347,4006,79,106,3514,2972
02,AK,Alaska,4,46753,94963,2737789,2883683,3105,5111,136620,185360,11736,24858,627004,716417,9624,25605,564995,595927,7138,14945,435062,442931,7913,13371,503771,491317,7237,11073,470334,451729,43532,88093,2562289,2686288,2735,4442,121945,163162,10436,22036,559854,636971,8880,23562,522666,550275,6819,14323,415514,423122,7643,12964,486447,474533,7019,10766,455861,438223,2647,5925,148850,162600,309,598,13212,18495,1048,2459,55174,63823,578,1697,34218,35784,234,451,14224,14632,253,401,17839,15918,225,319,14180,13947,2163,4815,117557,132297,240,454,9063,14358,931,2099,48137,56864,520,1488,29708,31763,172,331,10590,10668,156,235,10252,9738,144,208,9803,8904,1058,2055,57942,65096,130,215,5611,7839,369,723,19012,22581,224,555,12619,13888,147,291,8956,9140,114,172,7072,7045,74,99,4670,4601
02,AK,Alaska,5,33006,76126,2720093,2865088,925,1692,56343,78738,6307,15769,468378,543574,6863,21159,560201,596540,5940,14380,497383,517696,6632,12379,580249,577002,6339,10747,557537,551535,31305,72134,2592147,2718142,825,1507,51170,70203,5729,14427,428546,493912,6417,19793,525862,557886,5694,13822,477284,496378,6455,12072,564918,561605,6185,10513,544364,538157,1564,3664,124525,135608,67,129,3883,5723,500,1219,36500,43264,378,1178,30321,32728,208,462,17712,18096,223,376,19650,19389,188,300,16457,16405,1118,2735,82697,96456,59,115,2881,5005,403,976,27235,34522,306,975,23567,26470,142,339,11323,12366,102,175,8783,8849,106,155,8906,9243,583,1257,45247,50488,41,70,2291,3530,175,366,12595,15139,140,391,10771,12183,104,219,8774,8952,75,132,6547,6547,48,79,4267,4135
02,AK,Alaska,6,55761,146103,7122519,7642981,453,846,39711,56344,6787,19007,752571,894990,12276,42854,1503928,1672049,12284,35258,1622901,1719363,13044,27867,1752130,1812753,10917,20271,1451275,1487480,53507,140372,6851987,7341443,420,790,37377,51884,6297,17796,702788,831290,11672,40881,1435512,1592349,11781,33935,1552634,1650792,12646,27089,1702159,1758429,10691,19881,1421514,1456696,2226,5994,270794,301612,31,63,2562,4064,425,1155,44668,55573,606,2163,70408,81510,423,1173,56573,58546,409,841,53077,56644,332,599,43503,45273,1419,3654,172649,189791,17,32,1065,2509,313,737,31198,40847,402,1355,45249,53106,298,816,45561,40661,230,451,29306,31337,159,263,20268,21327,835,2077,97881,111746,16,24,1268,1949,177,474,18584,22852,202,618,23166,26592,205,507,24705,27908,168,327,20664,22986,67,127,9493,9456
02,AK,Alaska,7,17062,45690,5661505,6616139,13,22,5938,8738,874,2463,195668,269117,2973,10868,873224,1040385,4236,13309,1449322,1659630,5040,11512,1776108,2071042,3926,7516,1361243,1567224,16476,44227,5502998,6414768,13,22,5938,8738,804,2286,181993,246642,2864,10531,846115,1007517,4075,12855,1399534,1599786,4882,11167,1731648,2013834,3838,7366,1337767,1538249,634,1679,187551,221230,0,0,0,0,69,178,15958,21688,144,481,37882,46963,130,394,37912,45939,174,388,56711,63970,117,238,39086,42667,406,1043,114256,145190,0,0,0,0,53,142,10445,17618,78,248,20314,24326,118,343,37430,44218,105,228,31809,41213,52,82,14256,17813,180,420,44250,56180,0,0,0,0,17,35,3228,4856,31,89,6794,8541,43,111,12357,15625,53,117,12650,15994,36,68,9219,11161
04,AZ,Arizona,0,2536699,5364085,185902963,198357482,258441,382399,6003479,7295587,477976,1017195,21074377,23895640,432311,1265274,32117901,35101203,407646,1025343,38589525,40858797,414805,787825,41880468,42907653,545520,886049,46237210,48298599,2375327,5062258,175010401,186496031,230813,344384,5368425,6519186,436460,937766,19295991,21861584,408617,1203078,30543678,33395651,389144,985316,36891507,38907402,393630,751300,39371255,40321306,516663,840414,43539543,45490900,83653,152769,5210360,5762631,15451,20755,349110,442916,23945,44012,1050329,1225215,12627,33521,927154,1022642,8705,18549,793656,871924,8564,14349,891878,952333,14361,21583,1198230,1247599,118952,218736,8809103,9610950,18773,25248,447332,545609,30202,55641,1368781,1568589,16965,43926,1222959,1329048,13562,29162,1374382,1605592,16469,28396,2132974,2190421,22981,36363,2262674,2371689,42420,83091,2083458,2250500,8855,12767,187721,230791,11314,23788,409604,465466,6729,18270,351264,376504,4940,10865,323636,345802,4706,8129,376238,395925,5876,9272,434993,436010
04,AZ,Arizona,1,165663,246764,2169521,911757,25854,34338,287649,163061,26642,43147,345517,160172,15182,29631,219299,89845,15331,25501,222453,86663,22722,32141,339594,119428,59932,82006,755006,292586,151461,226276,1961194,830110,22068,29451,245013,139277,23184,37774,298020,139571,13713,26873,197044,81121,14199,23805,203421,80218,21286,30233,312877,112065,57011,78140,704817,277856,7906,11254,116057,45303,2086,2670,22921,13120,1997,3104,27432,11728,782,1422,13426,4512,614,918,7658,3607,745,993,15802,3901,1682,2147,28817,8432,10291,14482,156234,58967,2581,3235,29102,16133,2534,3804,35028,15060,1027,1876,15418,6041,813,1181,14317,4616,1094,1449,21386,5642,2242,2937,40980,11472,3911,6006,52092,22678,1205,1652,13533,7650,924,1569,12469,5541,442,882,6836,2681,319,515,4714,1828,342,459,5330,1720,679,929,9208,3257
04,AZ,Arizona,2,494779,924230,9776111,8837929,110027,161546,1766339,1982213,108174,223258,2018591,1963955,66602,176541,1340461,1204405,54744,121336,1146077,992135,56013,96595,1262455,1003017,99219,144954,2242185,1692201,458159,863505,9028891,8195659,98438,146135,1579351,1777747,98115,204780,1820195,1786185,62232,166021,1245789,1127783,51790,115850,1078776,939949,53164,92332,1186068,953382,94420,138387,2118710,1610611,19670,31822,403383,346085,6309,8185,103813,112802,5476,9715,107788,96845,2279,5435,50655,39748,1483,2806,34326,25837,1427,2107,39845,25093,2696,3574,66953,45757,25683,41369,539204,450065,7728,10005,126901,136903,7184,12703,144981,126934,2996,6961,66771,52052,2084,3751,48963,36532,2086,3059,56787,36168,3605,4890,94799,61473,10937,19356,208015,192205,3861,5406,60086,67563,2875,5775,53414,50835,1374,3559,27900,24570,870,1735,18337,15652,763,1204,19599,13467,1194,1677,28675,20116
04,AZ,Arizona,3,714416,1398450,24959945,25904011,98953,145763,2627949,3356780,184866,366073,6008950,6686358,124054,325224,4391084,4572833,101968,224771,3778083,3766845,97339,168168,3842681,3596308,107236,168451,4311195,3924884,671168,1323193,23425806,24345840,89677,132789,2385006,3039856,170720,340541,5545362,6174728,117925,310590,4166956,4346799,97668,216673,3584200,3608268,93243,162046,3664455,3445192,101935,160554,4079824,3730995,22527,37829,769538,809293,5187,7193,131438,177125,7873,13604,258291,285773,2916,6798,107611,107691,1930,3534,77172,70001,1793,2625,76232,65480,2828,4075,118793,103220,30031,50754,1097883,1082674,6262,8693,164651,213101,9758,17004,324584,353918,3986,9272,148660,146887,2920,5347,143163,107584,2993,4380,134532,110501,4112,6058,182290,150679,13217,24503,436255,475496,3014,4281,78290,103822,4388,8528,139003,157711,2143,5362,75466,79146,1380,2751,50719,50993,1103,1742,43693,40614,1189,1839,49080,43209
