statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
01,AL,ALABAMA,0,1663655,3748068,97120991,97625193,171347,353586,3327271,3864916,297613,699666,10737776,11727547,310954,890108,17963309,18562490,318521,780898,23625782,23596310,283006,552130,22563957,21937352,282214,471680,18902893,17936577,1563089,3534899,92774205,93155706,148751,310511,2901896,3364873,266967,633635,9703472,10588721,291596,839010,16977233,17580066,305489,752599,22817721,22780942,274900,537768,21898451,21304636,275386,461376,18475430,17536467,46809,97255,2203787,2264090,10630,19483,207907,250332,14967,31024,520932,584144,8578,22944,484456,495659,5650,12341,368249,381382,3607,6333,336561,288877,3377,5130,285678,263693,44042,93455,2095108,2155280,8891,16062,174103,199931,13162,28650,464619,507955,8457,23096,459950,472629,5888,12983,396122,403311,3994,7022,367658,350242,3650,5642,232654,221209,56524,119714,2251676,2314206,13705,27013,251271,300111,17484,37381,569683,630870,10901,28002,526125,509794,7144,15316,411939,412056,4112,7340,297847,282473,3178,4662,194808,178900
01,AL,ALABAMA,1,143816,237017,1677861,907684,30561,47026,291201,204912,28125,50348,311425,187512,18586,37756,226336,124383,17455,30273,214802,109674,17106,26127,231836,100021,31983,45487,402258,181179,130442,215401,1513341,823105,25857,40034,244578,174253,24420,43821,266198,163839,16692,34060,199916,112014,16172,28248,196695,101867,16318,25045,219814,95443,30983,44193,386137,175686,6643,10227,86318,41030,2257,3236,23604,14341,1918,3072,25082,12023,895,1706,12741,5538,694,1059,10602,4136,403,529,6123,2441,476,625,8163,2549,5962,9541,76742,36885,1909,2781,19823,12268,1658,2910,21255,10234,835,1636,11911,5362,634,994,9265,3855,417,558,6764,2458,509,662,7721,2705,7412,12075,87777,47692,2795,4211,26799,18390,2047,3617,23970,13438,1059,2060,14508,7005,649,1031,8842,3950,371,524,5258,2119,491,632,8399,2787
01,AL,ALABAMA,2,453347,957216,8323742,7824900,87349,175575,1308918,1474705,104000,243813,1759954,1780296,77472,203373,1425338,1345698,62590,134877,1233277,1112813,51068,90741,1099155,905937,70868,108837,1497097,1205449,420791,890649,7733261,7271921,76622,155404,1143167,1293094,93875,221644,1579165,1608187,72179,190198,1320946,1256014,59546,128843,1168683,1060621,49477,88210,1065272,878526,69092,106350,1456025,1175477,14536,28140,264621,245837,4912,8754,74736,83639,4563,9335,82310,77223,2143,5135,41416,35971,1306,2533,27795,21958,758,1191,17182,12825,854,1192,21180,14218,13165,26175,252665,222328,4156,7400,67585,70408,4017,8704,76098,67957,2098,5094,44336,35337,1265,2510,28589,21175,730,1157,15147,12438,899,1310,20907,15012,19391,40392,337815,330650,6571,12771,98165,111202,6108,13465,104690,104151,3195,8081,60055,54347,1779,3524,36003,31016,861,1374,18735,14973,877,1177,20164,14959
01,AL,ALABAMA,3,442216,942326,15650724,15913188,43538,107461,1171650,1469509,90532,198405,2943291,3229648,87721,223860,3106155,3185459,84242,178877,3091174,3074100,70956,126477,2786744,2600524,65227,107246,2551709,2353946,414568,884176,14727610,14926955,37688,94211,1020783,1272245,80752,178289,2630231,2878690,82334,210680,2912500,2989453,80932,172437,2964242,2952988,69045,123371,2708720,2530886,63817,105188,2491131,2302691,12200,25508,404067,437616,2754,6117,69519,93328,4685,9537,152096,170673,2034,5100,74343,74767,1226,2415,46717,44636,758,1233,32808,27744,743,1106,28581,26465,11363,23920,390829,408525,2241,4736,57848,75562,4165,8950,135687,150392,2111,5362,78823,77735,1298,2486,52691,48154,811,1281,34612,30014,737,1105,31166,26666,16285,34230,532284,577707,3609,8514,93017,121702,5615,11166,177372,200566,3276,7818,114831,118269,2012,3954,74240,72957,1100,1825,43411,39622,673,953,29411,24589
01,AL,ALABAMA,4,239992,557358,14401696,14760514,7387,17468,331855,437897,38552,99458,2120636,2356278,48921,144436,2902028,3010489,53046,126754,3248236,3273406,49747,96997,3140461,3070271,42339,72245,2658477,2612169,228106,530621,13729190,14035103,6375,15432,291449,377899,34654,90526,1917268,2119072,46089,136562,2736745,2837688,51085,122495,3127555,3152619,48526,94818,3061080,2994740,41377,70788,2595091,2553083,5636,12520,313702,344430,512,994,20481,30412,2101,4714,106921,128282,1263,3478,75258,77195,805,1758,48812,49485,474,830,31813,29243,481,746,30416,29811,5562,12631,316778,340202,442,855,17739,26281,1840,4217,97267,112109,1310,3842,76874,80084,852,1889,53088,52577,597,1036,39085,37086,521,792,32722,32063,6324,14106,355727,385208,570,1181,22666,33717,2058,4715,106100,125096,1522,4032,88408,92717,1109,2370,67593,68210,624,1143,40296,38444,441,665,30662,27022
01,AL,ALABAMA,5,154327,403068,12960606,13358445,1749,4165,112485,148016,20037,58735,1535104,1720601,33048,112844,2725676,2864009,36412,100858,3110566,3160337,34253,72567,2993322,2967357,28828,53899,2483451,2498122,147919,386666,12455325,12805345,1529,3718,100031,129400,18289,54137,1411491,1570499,31318,107331,2590527,2714123,35170,97733,3005713,3052931,33410,70938,2918623,2894421,28203,52809,2428938,2443969,3176,8051,248438,274578,122,218,6333,10254,883,2238,61428,76251,936,2949,73723,80699,535,1363,45592,46622,398,756,34742,34560,302,527,26618,26190,3241,8284,256036,280034,92,181,5477,7692,799,2078,56205,68623,922,3005,71436,79977,628,1565,53137,54520,431,807,37103,37319,369,648,32675,31900,3167,8118,249243,273065,128,266,6976,10923,949,2520,67407,81478,808,2508,63712,69908,614,1560,51715,52886,412,822,37595,35616,256,442,21836,22252
01,AL,ALABAMA,6,182785,513463,23249816,24175216,663,1636,61843,82980,14700,43844,1601799,1856699,37437,137475,4603930,4891078,50954,160654,6577461,6795467,45825,105063,6052862,6145777,33206,64791,4351917,4403212,175762,494400,22399361,23242682,590,1481,54570,73593,13447,40525,1474343,1697219,35550,131021,4383694,4644474,49231,155708,6358661,6562519,44559,102344,5885174,5971370,32385,63321,4242917,4293504,3677,10133,446324,488042,56,125,4184,7285,737,1916,74854,94554,1084,3748,126472,142553,821,2393,108733,111892,582,1252,80765,77884,397,699,51313,53872,3782,10218,466281,505115,41,85,3627,5212,611,1600,63477,78375,989,3469,117203,129354,940,2680,119096,128026,715,1508,96279,99123,486,876,66596,65024,3241,8845,384173,427418,32,70,3645,4175,642,1719,63978,81105,898,2985,103033,117249,783,2266,99704,104921,551,1211,71407,75282,335,594,42404,44684
01,AL,ALABAMA,7,47172,137620,20856543,20685243,100,255,49316,46892,1667,5063,465564,596509,7769,30364,2973842,3141371,13822,48605,6150263,6070510,14051,34158,6259574,6147462,9763,19175,4957981,4682496,45501,132986,20216114,20050592,90,231,47315,44386,1530,4693,424772,551212,7434,29158,2832901,3026297,13353,47135,5996170,5897394,13565,33042,6039766,5939246,9529,18727,4875188,4592054,941,2676,440313,432554,17,39,9048,11070,80,212,18239,25135,223,828,80499,78933,263,820,79995,102649,234,542,133126,104178,124,235,119404,110585,967,2686,335774,362188,10,24,2001,2506,72,191,14626,20262,192,688,59364,64778,271,859,80253,95002,293,675,138664,131802,129,249,40864,47836,704,1948,304653,272462,0,0,0,0,65,179,26165,25034,143,518,81576,50296,198,611,73840,78112,193,441,81143,76413,105,199,41929,42605
02,AK,ALASKA,0,280063,588029,20412245,21029914,38771,56612,888123,1101727,59774,130322,2798491,3137305,47158,135085,3620335,3823445,50579,119160,4762358,4906240,48581,90029,5185640,5011420,35200,56821,3157295,3049775,257540,544036,19353581,19879941,32766,47924,769233,949988,52255,114612,2505142,2801393,43564,125215,3395408,3582579,48111,114039,4580997,4713927,46802,87076,5021495,4856937,34042,55170,3081304,2975113,18920,38902,980394,1030627,4720,7283,96860,121005,5884,13012,236587,266294,3066,8967,197808,214043,2032,4311,170538,164964,1885,3234,178409,163786,1333,2095,100189,100534,15649,31150,708183,771900,4423,6503,82870,107661,5351,11447,202881,233890,2442,6971,153043,162947,1538,3299,113985,124100,1102,1815,108233,99261,793,1115,47168,44039,6874,12843,350480,378073,1582,2185,36020,44076,2168,4263,90467,102021,1152,2899,71883,77918,930,1822,67375,68213,677,1138,55910,55220,365,536,28823,30622
02,AK,ALASKA,1,20131,29260,238807,111916,5458,7078,55113,32853,4340,7121,51779,24936,2103,3742,27279,11713,2340,3582,29256,12828,2380,3156,31669,12269,3510,4581,43710,17315,17905,26122,207794,98941,4611,5974,46053,27646,3725,6152,43428,21306,1861,3350,23548,10357,2143,3316,25568,11727,2219,2948,28336,11368,3346,4382,40859,16535,1637,2320,28969,9743,605,769,7199,3881,401,616,6817,2456,165,322,3415,863,168,244,3360,1028,136,165,4799,734,162,204,3376,778,1468,2066,21947,8702,547,707,6079,3470,415,653,5836,2472,153,251,2505,863,128,180,2500,726,103,131,2473,596,122,144,2551,573,758,1072,9065,4271,300,397,2980,1736,200,316,2513,1158,89,141,1225,492,69,86,1187,373,58,77,858,304,42,55,299,206
